firstname,lastname,nickname,height,weight,reach,stance,wins,losses,draws,belt
"Alex","Serdyukov","The Russian Crusher","6' 2""","170 lbs.","74.0""","Orthodox","8","5","0",""
"Justin","Smitley","","--","145 lbs.","--","","10","7","1",""
"Neil","Seery","2Tap","5' 4""","125 lbs.","64.0""","Orthodox","16","13","0",""
"Punahele","Soriano","Puna","5' 11""","185 lbs.","72.0""","Southpaw","8","1","0",""
"Paulo","Santos","","--","--","--","","0","3","0",""
"Eric","Schambari","","5' 11""","185 lbs.","--","Orthodox","15","6","0",""
"Ovince","Saint Preux","","6' 3""","205 lbs.","80.0""","Southpaw","25","16","0",""
"Masanori","Suda","","5' 9""","183 lbs.","--","Orthodox","22","11","3",""
"Devonte","Smith","King Kage","5' 9""","155 lbs.","76.0""","Orthodox","11","2","0",""
"Chris","Spang","The Kiss","6' 2""","170 lbs.","--","Orthodox","6","3","0",""
"Akira","Shoji","","5' 8""","195 lbs.","--","Orthodox","14","17","5",""
"Emmanuel","Sanchez","El Matador","5' 9""","145 lbs.","71.0""","","15","3","0",""
"Tim","Stout","","5' 11""","185 lbs.","--","","12","10","0",""
"Walter","Smith-Cotito","","5' 8""","135 lbs.","--","","4","5","0",""
"Sean","Spencer","Black Magic","5' 10""","170 lbs.","74.0""","Orthodox","12","6","0",""
"Adam","Schindler","","5' 8""","155 lbs.","--","","10","6","0",""
"Jay","Silva","","6' 2""","185 lbs.","--","Southpaw","10","11","1",""
"Gennaro","Strangis","","--","--","--","","0","1","0",""
"Josh","Stuart","","5' 9""","160 lbs.","--","","1","4","0",""
"Amir","Sadollah","","5' 10""","170 lbs.","75.0""","Orthodox","6","5","0",""
"Wagner","Silva","Wagnao","6' 0""","170 lbs.","--","Orthodox","6","3","0",""
"Mike","Seal","Crazy Boy","6' 4""","185 lbs.","--","Orthodox","13","15","1",""
"Justin","Scoggins","","5' 7""","125 lbs.","66.0""","Southpaw","11","5","0",""
"Diego","Sanchez","Nightmare","5' 10""","170 lbs.","72.0""","Southpaw","31","13","0",""
"Greg","Soto","","5' 11""","170 lbs.","73.0""","Orthodox","9","4","0",""
"Muslim","Salikhov","King of Kung Fu","5' 11""","170 lbs.","70.0""","Orthodox","18","2","0",""
"Curtis","Stout","","6' 1""","185 lbs.","--","Southpaw","11","12","1",""
"David","Smith","","--","155 lbs.","--","","5","1","0",""
"Kyle","Stewart","Gunz Up","6' 0""","170 lbs.","76.0""","Orthodox","11","3","0",""
"Alexander","Sarnavskiy","Tiger","5' 11""","155 lbs.","--","","35","6","0",""
"Alex","Schoenauer","","6' 3""","185 lbs.","--","Orthodox","15","10","0",""
"Johnny","Sampaio","","5' 8""","170 lbs.","--","Orthodox","3","1","0",""
"Pat","Schilling","Thrilling","5' 8""","145 lbs.","--","Orthodox","5","2","0",""
"Edson","Silva","Paredao","--","205 lbs.","--","Orthodox","14","12","0",""
"Naho","Sugiyuma","Sugi Rock","5' 1""","105 lbs.","--","","12","5","0",""
"Brad","Scott","Bear","6' 1""","170 lbs.","76.0""","Orthodox","11","6","0",""
"Dayana","Silva","","5' 7""","135 lbs.","--","Orthodox","7","4","0",""
"Marilia","Santos","Chocolate","5' 4""","125 lbs.","--","Orthodox","10","3","0",""
"Krzysztof","Soszynski","The Polish Experiment","6' 1""","205 lbs.","77.0""","Open Stance","26","12","1",""
"Jeimeson","Saudino","The Minion","5' 6""","135 lbs.","--","","8","5","0",""
"Sam","Sicilia","","5' 8""","145 lbs.","67.0""","Orthodox","15","8","0",""
"Damian","Stasiak","Webster","5' 5""","135 lbs.","70.0""","Orthodox","10","6","0",""
"Genki","Sudo","Neo-Samurai","5' 9""","155 lbs.","--","Orthodox","15","4","2",""
"Claudio","Silva","Hannibal","5' 11""","170 lbs.","71.0""","Southpaw","14","3","0",""
"Gleristone","Santos","Toninho Furia","5' 9""","145 lbs.","--","","33","7","0",""
"Renato","Sobral","Babalu","6' 1""","205 lbs.","75.0""","Orthodox","37","11","0",""
"Lukasz","Sajewski","Wookie","5' 8""","155 lbs.","71.0""","Orthodox","13","3","0",""
"Brian","Stann","All American","6' 1""","205 lbs.","74.0""","Orthodox","12","6","0",""
"Nicholas","Sergiacomi","","--","170 lbs.","--","","1","1","0",""
"Frank","Shamrock","","5' 10""","185 lbs.","--","Orthodox","23","10","2",""
"Darren","Stewart","The Dentist","6' 0""","185 lbs.","74.0""","Orthodox","12","7","0",""
"Chas","Skelly","The Scrapper","5' 11""","145 lbs.","72.0""","Orthodox","18","3","0",""
"Aji","Susilo","","5' 10""","155 lbs.","--","","6","4","0",""
"Bobby","Southworth","","6' 2""","205 lbs.","--","Orthodox","10","6","0",""
"Takashi","Sugiura","","5' 11""","225 lbs.","--","Southpaw","1","3","0",""
"Justin","Salas","J-Bomb","5' 8""","155 lbs.","70.0""","Southpaw","12","7","0",""
"Aljamain","Sterling","Funk Master","5' 7""","135 lbs.","71.0""","Orthodox","20","3","0",""
"Lucas","Stark","","--","155 lbs.","--","","1","5","0",""
"Mackens","Semerzier","Da Menace","5' 9""","145 lbs.","72.0""","Orthodox","8","4","0",""
"Darko","Stosic","","6' 0""","205 lbs.","76.0""","Orthodox","13","4","0",""
"Xavier","Siller","Young Guns","5' 5""","125 lbs.","--","","5","5","0",""
"Jin","Soo Son","","5' 6""","135 lbs.","69.0""","Orthodox","9","4","0",""
"Thiago","Silva","","6' 2""","205 lbs.","74.0""","Orthodox","19","6","0",""
"Karine","Silva","Killer","5' 5""","125 lbs.","--","","13","4","0",""
"Cole","Smith","The Cole Train","5' 11""","135 lbs.","67.0""","Orthodox","7","2","0",""
"Brandon","Saling","White Steel","5' 10""","170 lbs.","--","","8","6","0",""
"Roman","Salazar","El Gallito","5' 7""","135 lbs.","--","Orthodox","10","6","0",""
"Sam","Spengler","The Ram","5' 11""","185 lbs.","--","Orthodox","9","5","0",""
"Kerry","Schall","Meat Truck","6' 2""","265 lbs.","--","Orthodox","24","13","0",""
"Leonardo","Santos","","6' 0""","155 lbs.","75.0""","Orthodox","18","5","1",""
"Adrian","Serrano","","5' 8""","170 lbs.","--","","56","29","4",""
"Lacey","Schuckman","","5' 3""","125 lbs.","--","","11","10","0",""
"Tatiana","Suarez","","5' 5""","115 lbs.","66.0""","Southpaw","9","0","0",""
"Masaaki","Satake","","6' 1""","220 lbs.","--","Orthodox","1","8","1",""
"Adriano","Santos","","--","--","--","","0","1","0",""
"Mario","Soto","Dr. Mario","6' 0""","145 lbs.","--","","7","2","0",""
"Dan","Stittgen","The Anvil","6' 1""","170 lbs.","--","Orthodox","12","5","0",""
"Samy","Schiavo","","5' 8""","155 lbs.","--","Orthodox","10","6","0",""
